,Unknown
1952,52
1953,39
1954,40
1955,43
1956,41
1957,"46,639"
1958,"42,183"
1959,"43,224"
1960,"32,061"
1961,"22,553"
1962,"29,628"
1963,"29,041"
1964,"30,028"
1965,"27,294"
1966,"31,388"
1967,"21,638"
1968,"22,096"
1969,"12,209"
1970,"11,877"
1971,"20,700"
1972,"13,000"
1973,"13,503"
1974,"15,325"
1975,"11,691"
1976,"11,840"
1977,"14,703"
1978,"9,657"
1979,"10,552"
1980,"8,112"
1981,"7,223"
1982,"10,347"
1983,"8,055"
1984,"8,206"
1985,"7,653"
1986,"9,610"
1987,"8,275"
1988,"6,470"
1989,"8,060"
1990,"8,332"
1991,"6,630"
1992,"6,971"
1993,"8,362"
1994,"7,556"
1995,"5,520"
1996,"7,853"
1997,"7,882"
1998,"4,641"
1999,"5,114"
2000,"4,805"
2001,"5,822"
2002,"4,952"
2003,"4,046"
2004,"5,644"
2005,"3,377"
2006,"3,260"
2007,"3,154"
2008,"4,839"
2009,"4,791"
2010,"4,077"
2011,"4,247"
2012,"3,921"
2013,"3,969"
2014,"2,446"
2015,"2,503"
2016,"3,581"
2017,"5,045"
2018,"2,575"
2019,"4,169"
2020,"2,330"
2021,"3,872"
2022,"3,404"
2023,"2,056"
2024,"2,910"
2025,"3,344"
2026,"1,878"
2027,"2,165"
2028,"2,971"
2029,"2,560"
2030,"1,756"
2031,"2,162"
2032,"1,783"
2033,"1,931"
2034,"2,866"
2035,"2,284"
2036,"1,712"
2037,"1,964"
2038,"1,711"
2039,"1,831"
2040,"2,224"
2041,"1,921"
2042,"2,365"
2043,"2,355"
2044,"1,914"
2045,"1,472"
2046,"2,975"
2047,"2,084"
2048,"2,083"
2049,"2,149"
2050,"1,749"
2051,"2,357"
2052,"1,675"
2053,"3,145"
2054,"1,672"
2055,"1,809"
2056,"2,142"
2057,"2,687"
2058,"1,889"
2059,"1,932"
2060,"1,652"
2061,"1,636"
2062,"2,228"
2063,"1,187"
2064,"1,632"
2065,"1,137"
2066,"1,317"
2067,"1,454"
2068,"1,838"
2069,"1,199"
2070,"1,523"
2071,"2,579"
2072,"1,191"
2073,"1,788"
2074,"2,061"
2075,"1,323"
2076,"1,313"
2077,"1,535"
2078,"1,267"
2079,"1,442"
2080,"1,456"
2081,"1,272"
2082,"2,727"
2083,"1,818"
2084,"1,394"
2085,"1,338"
2086,"1,790"
2087,"1,296"
2088,"1,551"
2089,"1,519"
2090,"1,168"
2091,"1,247"
2092,"1,180"
2093,731
2094,"1,114"
2095,"1,090"
2096,871
2097,"1,349"
2098,949
2099,933
2100,713
2101,"1,162"
2102,"1,042"
2103,537
2104,"1,210"
2105,"1,252"
2106,"1,208"
2107,"1,290"
2108,977
2109,"1,117"
2110,544
2111,933
2112,623
2113,"1,027"
2114,"1,919"
2115,792
2116,"1,211"
2117,504
2118,862
2119,900
2120,521
2121,461
2122,778
2123,406
2124,731
2125,477
2126,814
2127,561
2128,868
2129,834
2130,480
2131,860
2132,802
2133,798
