Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Honda,FR-V,33.13,5.29,103.0,1914.71,petrol,"5,292","7,167",782,"13,241"
Daihatsu,Sirion,14.33,4.56,59.88,1183.25,petrol,"7,106","5,141",739,"12,986"
Rover,Mini,7.92,4.0,33.33,868.33,petrol,"4,739","7,690",550,"12,979"
Kia,Venga,23.59,5.25,81.17,1509.75,petrol,"5,303","7,343",290,"12,936"
Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,"9,672","2,304",899,"12,875"
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,"4,375","7,729",640,"12,744"
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,"3,027","9,143",569,"10,739"
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,"4,690","7,314",716,"11,720"
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,"3,084","9,003",630,"12,717"
Chevrolet,Lacetti,18.76,4.71,80.43,1612.93,petrol,"3,942","8,102",666,"12,710"
MG,ZT,42.75,5.0,128.5,2548.83,petrol,"1,541","10,660",405,"12,606"
Mercedes,CLC,42.56,6.17,131.67,2313.67,petrol,"5,405","6,065",737,"12,207"
Land-Rover,Defender,108.75,7.85,207.61,2304.98,diesel,"2,167","9,293",668,"11,128"
Seat,Arosa,13.7,4.82,47.45,1384.0,petrol,"6,549","4,800",573,"11,922"
MG,ZS,30.99,0.0,105.0,335.0,autometic,"2,277","8,948",392,"11,617"
Honda,HR-V,32.72,3.6,96.0,1498.0,petrol,"4,377","6,436",715,"11,528"
Smart,City-coupe,13.21,6.0,35.8,679.0,petrol,"5,197","4,946",662,"10,805"
Daihatsu,Terios,26.2,4.62,77.0,1495.0,petrol,"5,230","4,903",641,"10,774"
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,"2,453","7,738",579,"10,750"
Fiat,Multipla,25.21,5.0,80.5,1753.0,petrol,"3,615","6,043",636,"10,294"
Audi,A8,116.54,8.0,230.0,2981.0,petrol,749,"8,781",545,"10,075"
Kia,Soul,33.49,0.0,81.0,285.0,autometic,"4,181","5,504",383,"10,068"
Skoda,Citigo,12.68,5.0,45.0,999.0,petrol,"4,960","3,867",404,"9,231"
